cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore
,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N93__NiC_acet_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt,B_N94__NiC_nit_1M_KOH__vs_RHE_B_05_CVA_C02_txt
399.0,0.015746848542785574,0.2903125735767981,-0.3216493326752686,-0.33739618121805415,0.0,0.015746848542785574,0.02323146414727295,0.17101563623343943,-0.20326175167253718,-0.22649321581981013,0.0,0.02323146414727295
409.0,0.018603661497195445,0.1820983358395981,-0.2094551517650517,-0.22805881326224714,0.0,0.018603661497195445,0.02336340768170428,0.1661914332259208,-0.19765650046593158,-0.22101990814763586,0.0,0.02336340768170428
419.0,0.018720091418427065,0.24730450161117007,-0.2773411847889209,-0.29606127620734796,0.0,0.018720091418427065,0.023759438622150603,0.16674728786251225,-0.19910187382250155,-0.22286131244465215,0.0,0.023759438622150603
429.0,0.01617563675677293,0.06999445327604735,-0.09737968175494743,-0.11355531851172036,0.0,0.01617563675677293,0.023904323978398395,0.17351931471535884,-0.20674446694511184,-0.23064879092351023,0.0,0.023904323978398395
439.0,0.016157594823367982,0.15880082957393343,-0.18853016545874618,-0.20468776028211416,0.0,0.016157594823367982,0.02419295292755705,0.17989783315431324,-0.21374478438868488,-0.23793773731624193,0.0,0.02419295292755705
449.0,0.019369456201217383,0.2067267253848897,-0.2333477551510278,-0.2527172113522452,0.0,0.019369456201217383,0.024350994530373565,0.18363641532402347,-0.21809765053691288,-0.24244864506728644,0.0,0.024350994530373565
459.0,0.017861848085093723,0.08452963086287171,-0.10991860687684021,-0.12778045496193394,0.0,0.017861848085093723,0.024038794036877864,0.1926635331185093,-0.22785123740873497,-0.25189003144561284,0.0,0.024038794036877864
469.0,0.01651033316087841,0.07328764983888335,-0.09980907339064704,-0.11631940655152545,0.0,0.01651033316087841,0.02479934389366273,0.1841450404582874,-0.2189153299821328,-0.24371467387579554,0.0,0.02479934389366273
479.0,0.017375392315908927,0.19988591729323216,-0.22828841296497643,-0.24566380528088536,0.0,0.017375392315908927,0.024097909699844877,0.18314042642319983,-0.2175347465877004,-0.24163265628754527,0.0,0.024097909699844877
489.0,0.018745574763098294,0.22100480093089878,-0.24798218140132983,-0.2667277561644281,0.0,0.018745574763098294,0.02460113603114933,0.19290103831005986,-0.22837259415860983,-0.25297373018975916,0.0,0.02460113603114933
499.0,0.017364024507697917,0.2440917622627995,-0.27641814334129283,-0.29378216784899075,0.0,0.017364024507697917,0.025363299415801455,0.19386005656999544,-0.2299398529799847,-0.25530315239578616,0.0,0.025363299415801455
