cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
287,0.025086735252416836,0.19620714178302803,-0.22105633797803337,-0.2461430732304502,,,False
289,0.02469506484067313,0.19999052810597823,-0.2250567770310588,-0.24975184187173194,,,False
291,0.024625858980785287,0.19594744038668005,-0.22093811971713118,-0.24556397869791646,,,False
293,0.0244304934019573,0.20068427461510835,-0.22590533708594612,-0.2503358304879034,,,False
295,0.023938255525122326,0.19446870891514415,-0.21980471650547723,-0.24374297203059955,,,False
297,0.02394639835302545,0.19463221195846658,-0.21991030209509388,-0.24385670044811933,0.0,0.02394639835302545,True
299,0.02382305076381433,0.1921905141424982,-0.21739397375570974,-0.24121702451952406,,,False
301,0.02357366237677533,0.1972423361976361,-0.22294287776503674,-0.24651654014181207,,,False
303,0.023224065903449137,0.19122350196920784,-0.21684065500642585,-0.240064720909875,,,False
305,0.022883227067669182,0.19527774543501533,-0.22095734194516575,-0.24384056901283493,,,False
307,0.022925400770975046,0.19244225850340024,-0.21819103115237987,-0.2411164319233549,,,False
309,0.022884189485022133,0.1908926534192617,-0.21642443405153883,-0.23930862353656096,,,False
311,0.022676299918844733,0.1834652101682768,-0.2091053703914777,-0.23178167031032243,,,False
313,0.02236792547440028,0.18520323057644023,-0.21066142553127382,-0.2330293510056741,,,False
315,0.022029068984962458,0.1889475871822404,-0.21463543890957654,-0.236664507894539,,,False
317,0.02222095457512832,0.18312746723952653,-0.20861621539892505,-0.23083716997405337,0.0,0.02222095457512832,True
319,0.022092515542427527,0.1828005707124947,-0.2081762392356955,-0.23026875477812303,,,False
321,0.022134760053705682,0.18593706229860263,-0.21121413256686267,-0.23334889262056835,,,False
323,0.021318556858813675,0.1865158206229853,-0.21206570097051491,-0.2333842578293286,,,False
325,0.021572952064088824,0.18416313856068658,-0.2095455095713203,-0.2311184616354091,,,False
327,0.021350577622628042,0.17703154564983803,-0.20220813305751795,-0.223558710680146,,,False
329,0.02130589194235591,0.18042260687432782,-0.20556946095343637,-0.22687535289579228,,,False
331,0.021030223258145353,0.1842474597207296,-0.20953029396965556,-0.2305605172278009,,,False
333,0.021200420656999674,0.17442526960257698,-0.19952341519194328,-0.22072383584894295,,,False
335,0.021126241234037446,0.17529519656283488,-0.20044559930032152,-0.22157184053435897,,,False
337,0.021207390751879718,0.182549824561403,-0.20778248744969524,-0.22898987820157496,0.0,0.021207390751879718,True
339,0.02125474015514975,0.17808963802362984,-0.20343802220982754,-0.2246927623649773,,,False
341,0.0211293496586705,0.1747337364840665,-0.2000680358158603,-0.2211973854745308,,,False
343,0.020640902118987975,0.17955685213032505,-0.2052917225172209,-0.22593262463620886,,,False
345,0.02050882611230459,0.17217536555674823,-0.19756287781066878,-0.21807170392297337,,,False
347,0.02058966259875883,0.17373792839240879,-0.19887397156759679,-0.21946363416635561,,,False
349,0.020796730827067678,0.1723390859291076,-0.19741217603173922,-0.2182089068588069,,,False
351,0.021125593742093357,0.17383477121374796,-0.1987893663978511,-0.21991496013994447,,,False
353,0.020993988604248726,0.1709719677765835,-0.1959817749247038,-0.21697576352895254,,,False
355,0.021147135705931464,0.1696063526673818,-0.19452777138483623,-0.2156749070907677,,,False
357,0.021134778962883433,0.17365288900823414,-0.19850027025028572,-0.21963504921316915,0.0,0.021134778962883433,True
359,0.02080242438357799,0.17223932939491518,-0.197426339650071,-0.218228764033649,,,False
