global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1662,0,831,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090954,1.5999571,-0.1799048519701762,0.2967961379822266,-0.017102574199593393,,-1.1258426458460864,-1.1258426458460864
1663,0,831,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,320,320,0,0.99999809,1.5904025,-0.01182948417313721,0.3148499744635328,0.061498261447000345,3.5344985043589476,,3.5344985043589476
1664,0,832,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090972,1.5999532,-0.1795222048282226,0.2942893803119659,-0.017106774252479716,,-1.1253576354761097,-1.1253576354761097
1665,0,832,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,1.0,1.5895342,-0.01188929040875775,0.3152558259729092,0.06118705679398798,3.5174585270255188,,3.5174585270255188
1666,0,833,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0090997,1.599952,-0.1796440193811224,0.2942498394598565,-0.017972377924544505,,-1.1208450599390645,-1.1208450599390645
1667,0,833,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000015,1.5899022,-0.01253867242485285,0.315433211401885,0.060954418978747114,3.5234342459155004,,3.5234342459155004
1668,0,834,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091234,1.5999758,-0.1801574622501776,0.2928803066412602,-0.018120866571957803,,-1.129503937530421,-1.129503937530421
1669,0,834,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,315,315,0,1.0000496,1.5895026,-0.01179324868409073,0.3150901449818542,0.060720506217833745,3.5181839130674324,,3.5181839130674324
1670,0,835,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091294,1.599978,-0.1801649401629675,0.2921096486704684,-0.018057826573402297,,-1.1257071692137424,-1.1257071692137424
1671,0,835,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,317,317,0,1.0000381,1.5897019,-0.01273552028994475,0.3158833587522354,0.061625765269666836,3.5216537919226654,,3.5216537919226654
1672,0,836,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090935,1.5999571,-0.179525455172076,0.2925368767717602,-0.016777509090542635,,-1.10526288332096,-1.10526288332096
1673,0,836,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,0.99999607,1.5906863,-0.0116068072738531,0.3147830411544503,0.06239396164154326,3.6188351221970634,,3.6188351221970634
1674,0,837,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091308,1.5999783,-0.1785797545526018,0.2929742549146921,-0.01599114744818638,,-1.0034768226150574,-1.0034768226150574
1675,0,837,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,316,316,0,1.0000437,1.5903656,-0.01239762244926346,0.3131733334783293,0.062159552763029584,3.602757653422958,,3.602757653422958
1676,0,838,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091128,1.5999633,-0.1780196287886844,0.2934565842151642,-0.016125855581442694,,-1.01148358072616,-1.01148358072616
1677,0,838,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,322,322,0,1.0000157,1.5906961,-0.01122964187727675,0.311797794182854,0.06262660836356054,3.6058701661276595,,3.6058701661276595
1678,0,839,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091203,1.5999708,-0.1780730714730474,0.2934092237399173,-0.016169101211959358,,-1.014073412201549,-1.014073412201549
1679,0,839,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,321,321,0,1.0000229,1.5900766,-0.01442235615104437,0.3122583903842722,0.06206847590409556,3.5893973240728987,,3.5893973240728987
1680,0,840,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090972,1.5999769,-0.1779338802330965,0.2966424505347789,-0.015200728460717622,,-1.0122479327270117,-1.0122479327270117
1681,0,840,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,0.99999988,1.5902588,-0.0113520478708265,0.3120706777108175,0.06213002800104527,3.5902003434207352,,3.5902003434207352
1682,0,841,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091146,1.599962,-0.1776518743084106,0.2946322927641312,-0.01626901651268642,,-1.0200570615415179,-1.0200570615415179
1683,0,841,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,1.0000172,1.5910598,-0.01337360218167305,0.3115939148914557,0.06239868811200991,3.60848667557191,,3.60848667557191
1684,0,842,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091085,1.5999594,-0.1772359518462348,0.2955790413750541,-0.016245051702235454,,-1.0187424046806461,-1.0187424046806461
