cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
239,0.018317973280224414,0.18244223272466864,-0.2139317795909687,-0.23224975287119312,,,False
241,0.017995561855830094,0.15856777407805167,-0.1895781381135611,-0.2075736999693912,,,False
243,0.01779700149659874,0.2006484421768702,-0.23297261029024424,-0.250769611786843,,,False
245,0.01839822420097867,0.18384016791979882,-0.21504267348485223,-0.2334408976858309,,,False
247,0.01851277504236784,0.1863044976727527,-0.21734966265057298,-0.23586243769294082,,,False
249,0.01800731488125079,0.21328499785177124,-0.2455965618313824,-0.2636038767126332,,,False
251,0.01845198364124606,0.18342755853920464,-0.21439031850474916,-0.23284230214599522,,,False
253,0.017946991877312385,0.19078997314715293,-0.22234472837259867,-0.24029172024991105,,,False
255,0.018394116432151858,0.18294553884711695,-0.21377760680019248,-0.23217172323234433,,,False
257,0.01835374347475835,0.18407707697815906,-0.2149292670451466,-0.23328301051990494,0.0,0.01835374347475835,True
259,0.018173631266260926,0.18598103938417415,-0.21707269269519386,-0.23524632396145478,,,False
261,0.01859205726697699,0.1715472764052982,-0.20169325698413026,-0.22028531425110726,,,False
263,0.01809701069757727,0.18098273934837023,-0.21182736656150525,-0.22992437725908252,,,False
265,0.018489909451605224,0.1823487919799488,-0.21282584508789582,-0.23131575453950104,,,False
267,0.017564436515097287,0.16415524776226226,-0.19490493264132497,-0.21246936915642226,,,False
269,0.01817242033536226,0.19194374865735683,-0.22288266504831278,-0.24105508538367504,,,False
271,0.01798420602279513,0.19149104403866782,-0.2225238802945776,-0.24050808631737272,,,False
273,0.01831292176751409,0.18337236233440687,-0.21384277304817984,-0.23215569481569392,,,False
275,0.01804932032462106,0.17618491442892883,-0.2066312880393249,-0.22468060836394596,,,False
277,0.018353269849027354,0.17905356999641922,-0.20925217259486745,-0.2276054424438948,0.0,0.018353269849027354,True
279,0.018605818999283957,0.16027559971356914,-0.18955470810902203,-0.208160527108306,,,False
281,0.01827849784282143,0.19032423236663007,-0.22085412446245023,-0.23913262230527166,,,False
283,0.01824725901420221,0.1810949344790541,-0.2113710381936233,-0.2296182972078255,,,False
285,0.018369183529657496,0.17127900143215113,-0.201066431283009,-0.2194356148126665,,,False
287,0.01802712511934601,0.19241722234156736,-0.22306256083411735,-0.24108968595346336,,,False
289,0.018101868409118094,0.18113518904403816,-0.21131262641192855,-0.22941449482104664,,,False
291,0.018095649663444402,0.18876752524167512,-0.21908111537211117,-0.23717676503555557,,,False
293,0.018229021386203692,0.18189537307554546,-0.21196571955640542,-0.2301947409426091,,,False
295,0.017945322340374797,0.17240512209094105,-0.2023219817453184,-0.2202673040856932,,,False
297,0.018082019835302637,0.1809310429645536,-0.21096417019628932,-0.22904619003159196,0.0,0.018082019835302637,True
