cycle,j_forward_mAcm2,j_backward_mAcm2,delta_j_mAcm2
339,-0.014816438265306122,-0.04111781836734694,0.026301380102040816
340,-0.015136470408163264,-0.04243129336734694,0.027294822959183673
341,-0.017689842857142857,-0.049205904081632654,0.0315160612244898
342,-0.01416650663265306,-0.041334189285714286,0.027167682653061225
343,-0.01913969693877551,-0.03936763928571429,0.02022794234693878
344,-0.006461985714285715,-0.041262615306122456,0.03480062959183674
345,-0.0010122020408163265,-0.0391255556122449,0.038113353571428574
346,-0.016168473469387754,-0.037474242857142855,0.0213057693877551
347,-0.015248707653061225,-0.04021987551020408,0.02497116785714286
348,-0.021212385714285714,-0.040216765306122455,0.01900437959183674
349,-0.01897673469387755,-0.03723081581632653,0.018254081122448976
350,-0.017077761224489795,-0.04110075,0.024022988775510203
351,-0.018073235714285714,-0.04142339540816326,0.023350159693877548
352,-0.027332072448979592,-0.029142363265306122,0.0018102908163265298
353,-0.015846905102040818,-0.041103102040816325,0.025256196938775507
354,-0.015495165816326532,-0.04056364642857142,0.02506848061224489
355,-0.016179575510204082,-0.041297405102040816,0.025117829591836734
356,-0.016524842346938774,-0.04103020867346939,0.024505366326530616
357,-0.010875564795918368,-0.040953846428571423,0.030078281632653053
358,-0.012959384693877552,-0.03883693418367347,0.02587754948979592
359,-0.006973705102040816,-0.03207421785714286,0.025100512755102042
360,-0.01665966581632653,-0.04107163673469388,0.024411970918367346
361,-0.015333004591836735,-0.040856653061224484,0.025523648469387747
362,-0.004122467346938776,-0.04102415969387755,0.036901692346938776
363,-0.013801940816326531,-0.04626631479591837,0.032464373979591836
364,-0.013278530102040815,-0.041026901530612246,0.02774837142857143
365,-0.004154732653061224,-0.04130012908163266,0.03714539642857143
366,-0.01629121530612245,-0.04102348877551021,0.024732273469387757
367,-0.008752017857142858,-0.03991719183673469,0.031165173979591836
368,-0.018877686224489796,-0.04081276326530612,0.021935077040816323
369,-0.01594103112244898,-0.041329337244897964,0.025388306122448984
370,-0.01851048367346939,-0.039914454081632654,0.021403970408163265
371,-0.029765142346938778,-0.04019728520408163,0.010432142857142855
372,-0.019708283673469388,-0.041117351020408165,0.021409067346938777
373,-0.015241435204081631,-0.04101907397959184,0.02577763877551021
374,-0.015409176020408163,-0.049959727040816325,0.03455055102040816
375,-0.010882301530612246,-0.041059259693877546,0.0301769581632653
376,-0.021494354591836736,-0.041076994387755104,0.01958263979591837
377,-0.011008389795918366,-0.041081066326530614,0.030072676530612248
378,-0.017844782653061223,-0.04706780612244898,0.029223023469387755
379,-0.01974072551020408,-0.041654190816326535,0.021913465306122454
380,-0.012318923469387755,-0.04109218673469388,0.028773263265306125
381,-0.02428655306122449,-0.04112886479591837,0.016842311734693877
382,-0.02488432091836735,-0.03815268775510204,0.013268366836734692
383,-0.022440680102040818,-0.04370971479591837,0.021269034693877552
