global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1655,0,827,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,383,383,0,1.0000033,1.5915614,-0.01985066942870617,0.6340560242190856,0.05415168874092086,3.103146359928546,,3.103146359928546
1656,0,828,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0084349,1.5999362,-0.245442414203648,0.3264209991320968,-0.014430678802316898,,-0.91712696748161,-0.91712696748161
1657,0,828,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,356,356,0,0.99995136,1.5907919,-0.007527243488294422,0.633309073398487,0.055297764080760946,3.076268927093069,,3.076268927093069
1658,0,829,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,311,0,311,1.0092009,1.599997,-0.2435329178815309,0.3280826359987259,-0.014481398624079163,,-0.9211351017235936,-0.9211351017235936
1659,0,829,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,366,366,0,1.0000013,1.5902126,-0.009368187953528784,0.6355383717018466,0.056655875638210014,3.061671462216054,,3.061671462216054
1660,0,830,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,309,0,309,1.0081948,1.5999681,-0.2453868468809426,0.3312575351446867,-0.013947196671521287,,-0.8979029364923568,-0.8979029364923568
1661,0,830,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,353,353,0,1.0000306,1.5902827,-0.01535137414466592,0.6371295543074771,0.05791504370240647,3.0919388926705973,,3.0919388926705973
1662,0,831,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,311,0,311,1.0098009,1.5999966,-0.2464405953793456,0.3334507793188095,-0.013898935294607756,,-0.8858906057723028,-0.8858906057723028
1663,0,832,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,365,365,0,1.0001513,1.5914954,-0.009063585870193958,0.640285948804399,0.055345033901300675,3.1336080681058327,,3.1336080681058327
1664,0,832,B[N93]_NiC_acet_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0083988,1.6000072,-0.2452264371386033,0.332343691717023,-0.012786680736883844,,-0.8809914498796516,-0.8809914498796516
